year_week_iso,cases,deaths,YearWeekISO,FirstDose,SecondDose,Cum_FirstDose,Cum_SecondDose,FirstDose_Rate,SecondDose_Rate,rolling_cases,rolling_deaths,CFR
2020-W52,138881.0,5708.0,2020-W52,24398,0,24398,0,0.0002931144040969027,0.0,138881.0,5708.0,4.109993447627825
2020-W53,123070.0,5734.0,2020-W53,278242,0,302640,0,0.003635877664394075,0.0,261951.0,11442.0,4.367992487144543
2021-W01,145475.0,5731.0,2021-W01,375650,0,678290,0,0.008148887988969922,0.0,407426.0,17173.0,4.2149985518842685
2021-W02,118892.0,5087.0,2021-W02,522394,19282,1200684,19282,0.01442486167590317,0.00023165144437234522,526318.0,22260.0,4.229382236594606
2021-W03,95524.0,4088.0,2021-W03,429536,248572,1630220,267854,0.019585251407773292,0.003217963177103524,482961.0,20640.0,4.273637001745483
2021-W04,78149.0,3084.0,2021-W04,311715,332951,1941935,600805,0.02333015494384453,0.007217993259834398,438040.0,17990.0,4.106930873892796
2021-W05,64557.0,2253.0,2021-W05,393545,452084,2335480,1052889,0.028058153474884596,0.012649271736010485,357122.0,14512.0,4.063597314083142
2021-W06,50818.0,1678.0,2021-W06,448483,424849,2783963,1477738,0.03344617000462438,0.017753352458453515,289048.0,11103.0,3.8412305222661978
2021-W07,52425.0,1475.0,2021-W07,572369,342489,3356332,1820227,0.040322536852666846,0.02186797083474436,245949.0,8490.0,3.4519351572887063
2021-W08,56387.0,1222.0,2021-W08,791049,369185,4147381,2189412,0.049826096826699584,0.026303311488753502,224187.0,6628.0,2.9564604548881066
2021-W09,58412.0,1048.0,2021-W09,1154438,385862,5301819,2575274,0.06369536506330997,0.030939007455375322,218042.0,5423.0,2.4871355060034306
2021-W10,71375.0,1097.0,2021-W10,1413826,392639,6715645,2967913,0.0806808870522725,0.03565612142005291,238599.0,4842.0,2.02934630907925
2021-W11,92621.0,1279.0,2021-W11,999446,461056,7715091,3428969,0.09268810152546837,0.04119518833927996,278795.0,4646.0,1.6664574328807906
2021-W12,116340.0,1525.0,2021-W12,1556612,536751,9271703,3965720,0.11138903597870585,0.04764364516006103,338748.0,4949.0,1.4609680352356325
2021-W13,110093.0,1587.0,2021-W13,1391516,556865,10663219,4522585,0.12810652852445983,0.054333748965185294,390429.0,5488.0,1.4056332905598714
2021-W14,118243.0,1581.0,2021-W14,2778385,552415,13441604,5075000,0.161485685161347,0.06097039104810974,437297.0,5972.0,1.3656622387073316
2021-W15,142078.0,1623.0,2021-W15,3232299,474998,16673903,5549998,0.20031810565679803,0.06667695534506934,486754.0,6316.0,1.297575366612293
2021-W16,144777.0,1619.0,2021-W16,3106967,445633,19780870,5995631,0.237644803777699,0.07203073234486093,515191.0,6410.0,1.2441987534720134
2021-W17,124813.0,1306.0,2021-W17,4021725,713582,23802595,6709213,0.28596128573591756,0.08060361383942098,529911.0,6129.0,1.156609317413679
2021-W18,100945.0,1012.0,2021-W18,3864252,1225112,27666847,7934325,0.33238590751886143,0.09532195033552576,512613.0,5560.0,1.0846388991305331
2021-W19,70815.0,672.0,2021-W19,3512437,1513905,31179284,9448230,0.3745838695724278,0.11350980843595701,441350.0,4609.0,1.0442959102752918
2021-W20,52727.0,446.0,2021-W20,2715148,2421207,33894432,11869437,0.4072033051021801,0.1425978749578133,349300.0,3436.0,0.9836816490123104
2021-W21,29894.0,261.0,2021-W21,2240123,2898230,36134555,14767667,0.4341158519604786,0.17741683386369764,254381.0,2391.0,0.9399286896427013
2021-W22,20691.0,141.0,2021-W22,2214681,3169977,38349236,17937644,0.46072274193423596,0.21550052594320773,174127.0,1520.0,0.8729260826867745
2021-W23,14068.0,66.0,2021-W23,2396375,4149195,40745611,22086839,0.4895124800323471,0.2653484159303726,117380.0,914.0,0.7786675753961493
