countriesAndTerritories,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
Austria,7312.0,7253.0,28065.0,314780.0,182007.0,101655.0,95232.0,535893.0,2599732.0,586570.0,682264.0,261399.0
Belgium,16977.0,45007.0,63834.0,524222.0,236586.0,193903.0,159581.0,885792.0,1740620.0,388325.0,296782.0,55667.0
France,52128.0,112673.0,398734.0,2056890.0,2023998.0,1130878.0,1238131.0,2959368.0,15642043.0,5474911.0,4307356.0,1215517.0
Germany,74061.0,120893.0,98995.0,1460483.0,1085469.0,888207.0,514274.0,2952749.0,14337869.0,6830657.0,5058149.0,1865884.0
Greece,1314.0,2095.0,15066.0,120375.0,124839.0,158767.0,233311.0,555086.0,1819576.0,646073.0,1243690.0,215008.0
Italy,105792.0,134786.0,74283.0,1792305.0,1476278.0,676465.0,412446.0,1453328.0,8516671.0,3880757.0,3944167.0,892402.0
Netherlands,12449.0,37598.0,70530.0,674961.0,476152.0,412910.0,318118.0,1128856.0,4727250.0,325309.0,246712.0,63860.0
Poland,2311.0,32082.0,57121.0,1203364.0,1026839.0,558195.0,27159.0,1201144.0,1770193.0,47187.0,229187.0,34780.0
Portugal,7251.0,35673.0,34439.0,323243.0,406514.0,66331.0,198724.0,342251.0,2336007.0,1427465.0,304946.0,31638.0
Spain,167645.0,93346.0,575532.0,1180775.0,1325289.0,535698.0,1114164.0,1838335.0,4762082.0,1175098.0,731828.0,65031.0
