geoId,cases,deaths,lat,lon
AT,914787.0,9197.0,47.5162,14.5501
BE,1475862.0,8563.0,50.5039,4.4699
BG,544842.0,23375.0,42.7339,25.4858
CY,144176.0,568.0,35.1264,33.4299
CZ,1752631.0,24339.0,49.8175,15.473
DE,5440699.0,67134.0,51.1657,10.4515
DK,606526.0,1938.0,56.2639,9.5018
EE,213738.0,1692.0,58.5953,25.0136
EL,1072003.0,20790.0,39.0742,21.8243
ES,4813486.0,36850.0,40.4637,-3.7492
FI,241354.0,1150.0,61.9241,25.7482
FR,7352375.0,59135.0,46.2276,2.2137
HR,504408.0,8618.0,45.1,15.2
HU,933901.0,29649.0,47.1625,19.5033
IE,696780.0,3675.0,53.4129,-8.2439
IS,21305.0,8.0,64.9631,-19.0208
IT,4018517.0,63243.0,41.8719,12.5674
LI,3992.0,30.0,47.166,9.5554
LT,378766.0,5571.0,55.1694,23.8813
LU,58282.0,407.0,49.8153,6.1296
LV,235770.0,3935.0,56.8796,24.6032
MT,39696.0,258.0,35.9375,14.3754
NL,2336036.0,9514.0,52.1326,5.2913
NO,347520.0,869.0,60.472,8.4689
PL,2813337.0,68500.0,51.9194,19.1451
PT,1013820.0,11989.0,39.3999,-8.2245
RO,1176628.0,42985.0,45.9432,24.9668
SE,881840.0,5534.0,60.1282,18.6435
SI,341757.0,2885.0,46.1512,14.9955
SK,1090159.0,14415.0,48.669,19.699
