geoId,Total_Population,Total_SecondDoses_Sum,Weighted_Average_Age
BG,6951482,1562460,53.658376534439284
HR,4058165,2074804,52.65327712882759
SI,2108977,1058816,52.28813977121615
EE,1331796,759661,50.02787098455759
NL,17590672,11204180,49.99246906065415
SE,10452326,7332259,49.547529690372365
PT,10352042,7762608,49.325921004899385
LI,39308,26175,49.054422158548235
HU,9769526,5922705,48.7825965500561
SK,5459781,2616848,48.698173909986366
PL,37958138,19714673,48.68310204790107
DE,83237124,63563714,48.597727557266396
EL,10718565,7587530,48.49133848564684
RO,19201662,6104631,48.42132816872961
IT,59641488,48008323,48.288137204875916
NO,5425270,4054963,47.95519293270986
DK,5873420,4695523,47.565810666884175
LT,2805998,1715345,47.37214058979389
BE,11617623,8730094,47.25651568012899
FR,67871925,52106927,47.22658036425752
CZ,10701777,6883332,47.13047874198136
CY,904705,631909,46.660487506903685
MT,520971,412476,46.0105254608753
AT,8978929,6818035,45.79438958585575
LU,645397,421378,45.675853983833996
FI,5548241,4734190,45.64393908989711
IS,376248,243731,45.41264549852091
LV,1907675,1094790,45.37347390823811
ES,47432893,39340663,43.99121776366606
IE,5060004,4207120,42.23985838293179
